question_to_delegate_pre_count,question_to_delegate_during_count,question_to_delegate_after_count,id,event_reference
15,40,30,3443,Cisco
10,30,20,3444,AdEPT
11,30,20,3445,Exponential-e
10,30,20,3446,Fordway
10,30,20,3447,FourNet
14,30,30,3455,Virgin MB
11,31,21,3448,Glemnet
100,100,100,3449,hso
10,30,20,3450,Jisc
10,30,20,3451,Juniper
10,30,20,3452,Maintel
10,30,20,3453,MLL Telecom
10,30,20,3454,TNP
0,0,0,3456,Public Sector C
10,30,20,3464,Switchshop
10,30,20,3465,Daisy
10,20,20,3466,Innopsis
0,0,0,3474,CCS
